Crop,standard_yield,min_yield,max_yield,unit,season,notes
Amla,60,30,120,Kg/Tree/Year,Perennial,Bearing starts from year 5-6; Chakaiya and Krishna varieties most common
Apple,40,15,80,Kg/Tree/Year,Rabi,Suited to Himachal/J&K; yield rises significantly after year 8
Arecanut,3.5,1.5,6,Kg/Tree/Year,Perennial,Dry nut weight; Kerala/Karnataka coastal belt; susceptible to yellow leaf disease
Ash gourd,120,60,180,Quintals/Acre,Kharif,Long shelf life; grown for local and export market
Banana,200,120,320,Tons/Acre,Perennial,Tissue culture plants yield higher; Grand Naine standard in Maharashtra/AP
Barley,14,8,22,Quintals/Acre,Rabi,Malt barley commands premium; rainfed average closer to 10
Beans,16,8,28,Quintals/Acre,Kharif,French/bush beans for vegetable; pole beans yield higher end
Beetroot,100,55,160,Quintals/Acre,Rabi,Quick-cycle crop (~60 days); good returns in peri-urban farming
Bitter gourd,40,18,70,Quintals/Acre,Kharif,Hybrid varieties push 60+; multiple pickings over season
Black gram,6,3,10,Quintals/Acre,Kharif,Drought-tolerant; Rabi crop in south India; yield sensitive to waterlogging
Black pepper,300,150,600,Kg/Acre,Perennial,Dried berry weight; yield drops sharply without proper vine support and irrigation
Bottle gourd,90,45,150,Quintals/Acre,Kharif,Fast-growing; multiple harvests; hybrid varieties dominant
Brinjal,100,45,170,Quintals/Acre,Kharif,Year-round in south; hybrid varieties standard in commercial cultivation
Broccoli,60,30,100,Quintals/Acre,Rabi,Cool-season crop; limited to Rabi in plains; well-suited to hills year-round
Cabbage,120,60,200,Quintals/Acre,Rabi,Compact hybrid heads; cool season essential for quality
Capsicum,80,35,130,Quintals/Acre,Kharif,Colored capsicum (polyhouse) can reach 300+; open field values given here
Carrot,100,55,160,Quintals/Acre,Rabi,Desi red variety dominates; Nantes type for export; sandy loam preferred
Castor,8,4,14,Quintals/Acre,Kharif,Seed yield; Gujarat accounts for 80% of India production; hybrid GCH-7 standard
Cauliflower,80,40,130,Quintals/Acre,Rabi,Timing critical — early/mid/late varieties; curd quality tied to temperature
Celery,50,25,90,Quintals/Acre,Rabi,Niche crop; grown in UP hills and Punjab; petiole yield basis
Chia,4,2,7,Quintals/Acre,Rabi,Emerging crop in MP/Rajasthan; yield data still consolidating in Indian context
Chickpea,8,4,14,Quintals/Acre,Rabi,Largest pulse in India; desi > kabuli in area; JG-11 and PKV Kabuli common
Chilli,60,30,100,Quintals/Acre,Kharif,Dry chilli weight; Guntur/Byadgi dominant; green chilli yield is ~5× higher in fresh weight
Coconut,60,30,100,Kg/Tree/Year,Perennial,Copra equivalent; dwarf hybrids yield earlier (year 3); spacing affects per-acre count
Coffee,800,400,1400,Kg/Acre,Perennial,Clean cherry weight; Arabica lower yield than Robusta; shade-grown standard
Coriander,6,3,10,Quintals/Acre,Rabi,Seed yield; leaf yield is separate and much higher (50-80 Q/Acre for cut-and-come)
Corn,22,12,35,Quintals/Acre,Kharif,Grain maize; sweet corn and baby corn are separate markets with different units
Cotton,8,4,14,Quintals/Acre,Kharif,Seed cotton (kapas); not lint
Cowpea,8,4,13,Quintals/Acre,Kharif,Dual-purpose (grain + fodder); heat-tolerant; south and central India
Cucumber,70,35,120,Quintals/Acre,Kharif,European/seedless hybrids for polyhouse can reach 200+; open field values here
Cumin,4,2,7,Quintals/Acre,Rabi,Very sensitive to humidity and blight; Rajasthan/Gujarat; yield highly variable
Dragon fruit,40,20,80,Quintals/Acre,Perennial,Bearing from year 2; full yield from year 4; Maharashtra/Gujarat; night-blooming
Drumstick,40,20,70,Kg/Tree/Year,Perennial,Pod weight; PKM-1 variety standard; south India year-round; north India seasonal
Fenugreek,8,4,13,Quintals/Acre,Rabi,Seed yield; Rajasthan dominant; leaf crop yield counted separately
Fig,50,25,90,Kg/Tree/Year,Perennial,Poona fig variety; Maharashtra; two crops/year (Bahar and Hasti)
Finger millet,10,5,16,Quintals/Acre,Kharif,Karnataka/Uttarakhand staple; rainfed crop; nutritionally dense
Garlic,40,20,65,Quintals/Acre,Rabi,Fresh bulb weight; MP/Rajasthan/Gujarat; seed cost is high input factor
Ginger,80,40,130,Kg/Acre,Kharif,Fresh rhizome weight; Kerala/NE India/Karnataka; yield strongly tied to seed quality
Grapes,120,60,200,Quintals/Acre,Perennial,Maharashtra (Nashik/Sangli) dominant; table grape vs raisin market differ; wire trellis standard
Green gram,5,2.5,9,Quintals/Acre,Kharif,Short-duration pulse (60-70 days); also Zaid crop in many regions; drought tolerant
Green peas,25,12,40,Quintals/Acre,Rabi,Fresh pod weight; Palam Priya/Arkel standard; hilly regions extend season
Groundnut,12,6,20,Quintals/Acre,Kharif,Unshelled pod yield; Gujarat/AP/Rajasthan; irrigated bold-seeded varieties push 18+
Guava,60,30,110,Kg/Tree/Year,Perennial,Allahabad Safeda standard; Lalit hybrid high-yielding; two crops/year possible
Horse gram,6,3,10,Quintals/Acre,Kharif,Dryland crop; south India; low-input; yield modest but stable
Jute,18,10,28,Quintals/Acre,Kharif,Dry fibre weight; West Bengal/Bihar/Assam; retting process affects quality
Kidney beans,8,4,13,Quintals/Acre,Rabi,Rajma; J&K/HP/Uttarakhand hills; also grown in plains as Rabi pulse
Kiwi,35,15,65,Kg/Tree/Year,Perennial,HP/Uttarakhand/Arunachal; Hayward dominant; full yield from year 7-8
Lemon,50,25,90,Kg/Tree/Year,Perennial,Kagzi Kalan variety; multiple flushes/year; drip irrigation critical
